street_id,road_name,road_type,locality_name
493,AINTREE,COURT,NOBLE PARK NORTH
494,AINTREE,ROAD,GLEN IRIS
495,AINTREE,STREET,BRUNSWICK EAST
496,AINTREE,STREET,MOOROOLBARK
497,AINWICK,CRESCENT,THOMASTOWN
498,AIR,AVENUE,DIGGERS REST
499,AIR FORCE,AVENUE,BRAYBROOK
500,AIRD,COURT,WONGA PARK
501,AIRD,STREET,CAMBERWELL
502,AIRD,STREET,RINGWOOD
503,AIRDRIE,COURT,TEMPLESTOWE LOWER
504,AIRDRIE,MEWS,GREENVALE
505,AIRDRIE,ROAD,CAULFIELD NORTH
506,AIRDS,ROAD,TEMPLESTOWE LOWER
507,AIREDALE,AVENUE,HAWTHORN
508,AIREDALE,AVENUE,HAWTHORN EAST
509,AIREDALE,WAY,ROWVILLE
510,AIREY,WAY,DOREEN
511,AIREYS,COURT,SOMERS
512,AIRFIELD,ROAD,BERWICK
513,AIRLEY,COURT,MEADOW HEIGHTS
514,AIRLEY,ROAD,GLEN IRIS
515,AIRLIE,AVENUE,DANDENONG
516,AIRLIE,AVENUE,POINT COOK
517,AIRLIE,AVENUE,PRAHRAN
518,AIRLIE,COURT,DONCASTER EAST
519,AIRLIE,COURT,LANGWARRIN
520,AIRLIE,COURT,ROWVILLE
521,AIRLIE,GROVE,SEAFORD
522,AIRLIE,ROAD,HEALESVILLE
523,AIRLIE,ROAD,MONTMORENCY
524,AIRLIE,STREET,BRIGHTON
525,AIRLIE,STREET,SOUTH YARRA
526,AIRLIE BANK,LANE,SOUTH YARRA
527,AIRPORT,DRIVE,MELBOURNE AIRPORT
528,AIRSIDE,ROAD,MELBOURNE AIRPORT
529,AIRWAYS,STREET,MELBOURNE AIRPORT
530,AISBETT,AVENUE,CAMBERWELL
531,AISBETT,AVENUE,WANTIRNA SOUTH
532,AISBETT,CLOSE,LYNBROOK
533,AISHA,CRESCENT,DINGLEY VILLAGE
534,AITAPE,COURT,HASTINGS
535,AITCHISON,AVENUE,ASHBURTON
536,AITCHISON,AVENUE,GLEN IRIS
537,AITKEN,AVENUE,HOPPERS CROSSING
538,AITKEN,BOULEVARD,CRAIGIEBURN
539,AITKEN,BOULEVARD,MICKLEHAM
540,AITKEN,CLOSE,CAROLINE SPRINGS
541,AITKEN,COURT,BERWICK
542,AITKEN,COURT,FERNTREE GULLY
543,AITKEN,DRIVE,DELAHEY
544,AITKEN,PLACE,GLADSTONE PARK
545,AITKEN,STREET,CLIFTON HILL
546,AITKEN,STREET,SUNBURY
547,AITKEN,STREET,WILLIAMSTOWN
548,AJANA,COURT,WHEELERS HILL
549,AJANA,LANE,FRANKSTON SOUTH
550,AJANA,STREET,BALWYN NORTH
551,AJAX,CLOSE,KEILOR DOWNS
552,AJAX,COURT,HEIDELBERG WEST
553,AJAX,COURT,LILYDALE
554,AJAX,COURT,MILL PARK
555,AJAX,DRIVE,WHEELERS HILL
556,AJAX,ROAD,ALTONA
557,AJAX,ROAD,KALKALLO
558,AJAX,STREET,BALWYN NORTH
559,AJAX,STREET,TRUGANINA
560,AKARANA,ROAD,CHIRNSIDE PARK
561,AKEROA,AVENUE,BRUNSWICK EAST
562,AKIMA,CLOSE,GREENSBOROUGH
563,AKIMA,TERRACE,MOOROOLBARK
564,AKIMBO,STREET,TARNEIT
565,AKITA,COURT,BERWICK
566,AKITA,COURT,KEYSBOROUGH
567,AKMA,COURT,TAYLORS LAKES
568,AKOONA,WAY,WYNDHAM VALE
569,AKOONAH,CLOSE,DONVALE
570,AKOONAH,COURT,BURNSIDE
571,AKORA,COURT,FRANKSTON
572,AKRANA,COURT,VERMONT SOUTH
573,AKRON,STREET,FERNTREE GULLY
574,AKUNA,AVENUE,NOTTING HILL
575,AKUNA,COURT,KNOXFIELD
576,AKUNA,DRIVE,WILLIAMSTOWN NORTH
577,AKUNA,STREET,ALTONA
578,AKUNA,STREET,WARNEET
579,ALABAMA,CLOSE,HOPPERS CROSSING
580,ALABASTER,STREET,CLYDE NORTH
581,ALAIN,AVENUE,SOUTH MORANG
582,ALAMANDA,BOULEVARD,POINT COOK
583,ALAMANDA,WAY,CRANBOURNE NORTH
584,ALAMAR,AVENUE,GLEN HUNTLY
585,ALAMBADI,CIRCUIT,CLYDE NORTH
586,ALAMEDA,AVENUE,MARIBYRNONG
587,ALAMEDA,AVENUE,MORNINGTON
588,ALAMEDA,PLACE,PARKDALE
589,ALAMEDA,STREET,PARKDALE
590,ALAMEIN,AVENUE,ASHBURTON
591,ALAMEIN,AVENUE,CROYDON
592,ALAMEIN,AVENUE,KILSYTH
593,ALAMEIN,ROAD,HEIDELBERG WEST
594,ALAMEIN,STREET,NOBLE PARK
595,ALAMO,ROAD,RESERVOIR
596,ALAN,COURT,BUNDOORA
597,ALAN,COURT,NOBLE PARK NORTH
598,ALAN,DRIVE,WALLAN
599,ALAN,GROVE,WOORI YALLOCK
600,ALAN,PLACE,ROWVILLE
601,ALAN,PLACE,WARRANDYTE
602,ALAN,STREET,BLACKBURN SOUTH
603,ALAN,STREET,BOX HILL NORTH
604,ALAN,STREET,CROYDON
605,ALAN,STREET,KINGS PARK
606,ALAN GEORGE,TERRACE,SOMERVILLE
607,ALANA,COURT,WANTIRNA SOUTH
608,ALANAH,CLOSE,LILYDALE
609,ALANAH,PLACE,IVANHOE
610,ALANBRAE,TERRACE,ATTWOOD
611,ALANDALE,AVENUE,BALWYN
612,ALANDALE,COURT,BLACKBURN
613,ALANDALE,ROAD,BLACKBURN
614,ALANDALE,ROAD,EAGLEMONT
615,ALANDALE,STREET,SURREY HILLS
616,ALASKA,COURT,WERRIBEE
617,ALASTAIR,COURT,SURREY HILLS
618,ALASTAIR,DRIVE,BERWICK
619,ALASTER,COURT,HAMPTON PARK
620,ALATHEA,COURT,RYE
621,ALAWA,COURT,KEILOR DOWNS
622,ALAWARA,COURT,BURWOOD EAST
